listingName,producerID,bottler,originCountry,drinkType,typeCategory,age,abv,reviewLink,officialDesc,sourceLink,photo,,,,,,,,,,,,,,,
Harmony Collection Inspired by Intense Arabica,ObjectId('65b33f65e8fb649accedb5a9'),OB,Scotland,Whiskey / Whisky,Single Malt,NAS,0.44,https://88bamboo.co/blogs/whisky-reviews/the-macallan-harmony-collection-inspired-by-intense-arabica-single-malt-44-abv,"The second edition in our limited annual release series, this special single malt exudes flavours of sweet oak, tiramisu and dark chocolate, and provides a delightful whisky and coffee pairing experience.",,,,,,,,,,,,,,,,,
Nikka From The Barrel,ObjectId('65b33f65e8fb649accedb5a3'),OB,Japan,Whiskey / Whisky,Blended,NAS,0.51,https://88bamboo.co/blogs/whisky-reviews/nikka-from-the-barrel,This strong Japanese blend aged in bourbon barrels comes from the blend of two Nikka single malts Miyagikyo and Yoichi and a single grain whisky. Nikka from the Barrel was chosen best Japanese blended whisky under 12 years old at the World Whiskies Awards 2007.,,,,,,,,,,,,,,,,,
Ardbeg Ardcore,ObjectId('65b33f65e8fb649accedb5a8'),OB,Scotland,Whiskey / Whisky,Single Malt,NAS,0.46,https://88bamboo.co/blogs/whisky-reviews/ardbeg-ardcore-46-abv,"From a Distillery with more ups and downs that a pogoing punk comes Ardcore. Created with roasted black malt, roasted to the extreme, this spirit is all about what happens up front & centre stage. The malt is what defines its distinctive profile. Described as tasting like ‘biting on a spiky ball’, Ardcore is a dram that wears its heart on its sleeve… its black heart!",,,,,,,,,,,,,,,,,
N.I.P. Dry Gin,ObjectId('65b33f65e8fb649accedb5a4'),OB,Hong Kong,Gin,Contemporary,,0.43,https://88bamboo.co/blogs/gin/gins-made-by-not-important-persons-nip-rare-dry-gin-nip-exotic-city-gin-catnip-gin-1-2,"Inspired by the city’s origin, N.I.P combines traditional botanicals of distilled gin with local flavours and aromas to create a unique Hong Kong spirit. The main stage created by the traditional piney juniper berries is highlighted by the tangy aged tangerine peels, further complemented by the elegance and citrus of kumquat and the sweetness and lingering aromas of Shoumei tea. This is a meticulously crafted gin that not only brings forth a complex yet balanced combination of flavours, but also the heritage and underlying attitude that is representative of Hong Kong.",,,,,,,,,,,,,,,,,
N.I.P. Exotic City Gin,ObjectId('65b33f65e8fb649accedb5a4'),OB,Hong Kong,Gin,Contemporary,,0.43,https://88bamboo.co/blogs/gin/gins-made-by-not-important-persons-nip-rare-dry-gin-nip-exotic-city-gin-catnip-gin-1-2,"The N.I.P EXOTIC CITY GIN is the second issue of our core Hong Kong gin series. This new issue seeks to showcase a different side of Hong Kong, highlighting its incredible, yet underrated local produce and agriculture. Anchored by locally grown perfume lemons, this gin is a citrus and refreshing expression that seeks to explore an unknown side of the city, and more importantly, flavours that are truly original and nurtured in this concrete jungle.",,,,,,,,,,,,,,,,,
Catnip Gin No. 1,ObjectId('65b33f65e8fb649accedb5a4'),OB,Hong Kong,Gin,Contemporary,,0.45,https://88bamboo.co/blogs/gin/gins-made-by-not-important-persons-nip-rare-dry-gin-nip-exotic-city-gin-catnip-gin-1-2,"This special label of CATNIP GIN celebrates not just everything about gin, but also the beauty of traditional premium Chinese tea!  Given our passion in Chinese tea, we have decided to use some of our favorite and rare teas that we love as one of the main ingredients of our latest gin.  For this issue, the star of the show is Phoenix Honey Orchard (鳳凰單欉玉蘭香), a tea that is lightly roasted and fermented to give off a floral fragrance and fruity palate, with a hint of peach and tropic fruits, which ends with a mild roast.  On top of it we added three other ingredients in juniper berries, grapefruit peel and ginger, creating a one-of-a-kind profile that sees the elegance and fragrance of the tea perfectly harmonize with the spices and freshness of the rest of the ingredients.",,,,,,,,,,,,,,,,,
Catnip Gin No. 2,ObjectId('65b33f65e8fb649accedb5a4'),OB,Hong Kong,Gin,Contemporary,,0.45,https://88bamboo.co/blogs/gin/gins-made-by-not-important-persons-nip-rare-dry-gin-nip-exotic-city-gin-catnip-gin-1-2,"CATNIP TEA GIN SERIES NO. 2. We are Crazy About Tea and we are crazy about Gin.  In this second issue of the series, we have hand-picked yet another premium oolong tea, namely the famous Da Hong Pao from the Wuyi Mountains of Fujian.  This history of Da Hong Pao traces pack to the 1300s, and it is regarded as one of the most prestigious cliff-grown teas in Wuyi.  This tea has a unique orchid fragrance and a mineral and fruity palate, with hints of caramel, vanilla and stone fruits, and a long-lasting sweet after taste.  To pair with this exquisite tea, we have added three other key ingredients, namely juniper berries, coriander seeds and mandarin, to create a harmony between the elegant Da Ho Pao, fruits and spices.  Enjoy neat or in a simple gin and tonic, we hope to make you pur with this edition of Catnip Gin!",,,,,,,,,,,,,,,,,
Mr Black Cold Brew Coffee Liqueur,ObjectId('65b33f65e8fb649accedb593'),OB,Australia,Liqueur,Coffee,,0.25,,"CRAFTED FOR COFFEE LOVERS. The final brew is a bittersweet masterpiece of big flavour, balanced sweetness and an enduring coffee kick. Drink on the rocks or in cocktails.",,,,,,,,,,,,,,,,,
Mr Black Coffee Amaro,ObjectId('65b33f65e8fb649accedb593'),OB,Australia,Liqueur,Coffee,,0.29,,ITALIAN HERITAGE. MODERN AUSTRALIA. Mr Black Coffee Amaro is a bitter liqueur inspired by Italy’s after-dinner drink tradition and Australia’s coffee culture.,,,,,,,,,,,,,,,,,
Five Farms Irish Cream Liqueur,ObjectId('65b33f65e8fb649accedb594'),OB,Ireland,Liqueur,Cream,,0.17,https://88bamboo.co/blogs/everything-nice/five-farms-irish-cream-liqueur-17,"Exclusively sourced and produced in County Cork, Ireland, Five Farms is the world's first farm-to-table Irish cream liqueur.",,,,,,,,,,,,,,,,,
Ube Cream Liqueur,ObjectId('65b33f65e8fb649accedb595'),OB,Philippines,Liqueur,Cream,,0.20,https://88bamboo.co/blogs/everything-nice/ube-cream-liqueur-destileria-barako-20-abv,The world's first award-winning ube cream liqueur crafted with the precolonial root staple crop of the Filipino people. Proudly made in the Philippines.,,,,,,,,,,,,,,,,,
Triple Tangerine Mandarin Orange Liqueur,ObjectId('65b33f65e8fb649accedb592'),OB,Singapore,Liqueur,Triple Sec,,0.38,https://88bamboo.co/blogs/everything-nice/tanglins-triple-tangerine-mandarin-orange-liqueur-38-abv,"In our quest to make the Singapore Sling truly Singaporean, Tanglin Gin embarked on a journey to create an artisanal Orange Liqueur. Paying homage to Singapore, we distil this liqueur with Mandarin Orange, Calamansi and Kaffir Lime Leaf, resulting in a great addition to any bar.",,,,,,,,,,,,,,,,,
Tanglin Orchid Gin,ObjectId('65b33f65e8fb649accedb592'),OB,Singapore,Gin,Contemporary,,0.42,https://88bamboo.co/blogs/whisky-rum-gin-vodka-distillery-spotlight/the-distillery-that-put-singapore-on-the-world-map-tanglin-gin?_pos=7&_sid=d285dcc2a&_ss=r,"Our ‘OG’ is a modern gin with the unmistakable pine of juniper. Singapore’s First Gin has been designed to reflect the cultures and cuisines of its home country. The not-so-secret ingredient is in its name: Vanilla Planifolia Orchid. This modern gin is smooth—with the pine of the juniper unmistakably present. Its herbaceous flavour notes come from the classic gin botanicals with a surprising twist—Amchoor—hails from India and is a powdered green mango, adding that extra citrus note. The usual suspects appear too, old-world botanicals like coriander seed and liquorice.",,,,,,,,,,,,,,,,,
Tanglin Singapore Gin,ObjectId('65b33f65e8fb649accedb592'),OB,Singapore,Gin,Contemporary,,0.42,https://88bamboo.co/blogs/whisky-rum-gin-vodka-distillery-spotlight/the-distillery-that-put-singapore-on-the-world-map-tanglin-gin?_pos=7&_sid=d285dcc2a&_ss=r,A citrusy gin with chilli and ginger to zing the palate.,,,,,,,,,,,,,,,,,
Tanglin Black Powder Gin,ObjectId('65b33f65e8fb649accedb592'),OB,Singapore,Gin,Contemporary,,0.58,https://88bamboo.co/blogs/whisky-rum-gin-vodka-distillery-spotlight/the-distillery-that-put-singapore-on-the-world-map-tanglin-gin?_pos=7&_sid=d285dcc2a&_ss=r,A super smooth award-winning navy-strength gin. A must-try.,,,,,,,,,,,,,,,,,
Audemus Umami Oak Finished Gin,ObjectId('65b33f65e8fb649accedb596'),OB,France,Gin,Barrel-Aged,,0.42,https://88bamboo.co/blogs/gin/gin-made-from-cheese-audemus-umami-oak-finished-gin-42-abv,"Umami Gin is a product in its own universe. Named after the fifth taste; savouriness, or how we describe it – saltiness without the salt. The base flavour for this spirit comes from South Italian capers which are brought in directly from the cooperative. They’re distilled at 45 degrees to maintain the fresh iodic aroma. We combine this distillate with an infusion of Parmigiano-Reggiano, Italian parmesan cheese, which is glutamate-rich (the molecule which is responsible for our tongues ability to taste umami).  Combined with juniper, two other ingredients, and a base of neutral grain spirit, the blend is left to rest in an old cognac barrel for several months. The result is a fresh, lightly savoury gin with an entirely unique flavour profile.",,,,,,,,,,,,,,,,,
Monkey 47 Schwarzwald Dry Gin,ObjectId('65b33f65e8fb649accedb597'),OB,Germany,Gin,Contemporary,,0.47,,"An unusual gin from the Black Forest in Germany, Monkey 47 contains a unique ingredient. No, not that! Lingonberries! The 47 comes from the number of botanicals that go into this unique gin, and the fact it's bottled at a healthy 47%. It seems that the botanicals speak for themselves, as the gin has received bucketfuls of critical acclaim.",,,,,,,,,,,,,,,,,
Monkey 47 Sloe Gin,ObjectId('65b33f65e8fb649accedb597'),OB,Germany,Gin,Sloe Gin,,0.29,,"The superbly packaged Monkey 47 Sloe gin is a peppery, tangy, complex spirit made by macerating Black Forest sloes in spirit for three months.",,,,,,,,,,,,,,,,,
Roku Japanese Craft Gin,ObjectId('65b33f65e8fb649accedb598'),OB,Japan,Gin,Contemporary,,0.43,https://88bamboo.co/blogs/features/diving-deeper-into-roku-gin-taste-testing-its-sakura-and-yuzu-distillates,"Roku – meaning ‘six’ in Japanese. The Japanese Craft Gin contains six Japanese botanicals; sakura flower, sakura leaf, yuzu peel, sencha tea, gyokuro tea and sansho pepper, along with eight traditional botanicals including juniper berry, coriander seeds, angelica root, angelica seed, cardamom seed, cinnamon, bitter orange peel and lemon peel.",,,,,,,,,,,,,,,,,
KI NO BI Kyoto Dry Gin,ObjectId('65b33f65e8fb649accedb599'),OB,Japan,Gin,Contemporary,,0.46,,"KI NO BI (“The Beauty of the Seasons”) is inspired by tradition and is distilled, blended and bottled in Kyoto. Our gin is made in a recognisably dry style, but with a distinct Japanese accent. KI NO BI Kyoto Dry Gin is created with Japanese botanicals such as yellow yuzu from the north of Kyoto Prefecture, akamatsu wood chips (Japanese red pine), bamboo, gyokuro tea from the Uji region and green sanshō (Japanese peppercorn) berries.",,,,,,,,,,,,,,,,,
KI NO TEA Kyoto Dry Gin,ObjectId('65b33f65e8fb649accedb599'),OB,Japan,Gin,Contemporary,,0.45,,"KI NO TEA is a product created in collaboration with tea-grower and blender Hori-Shichimeien, founded in the Meiji era in 1879 and based in the famous Uji region to the south of Kyoto city. A number of super-premium Uji teas have been specially selected to form the heart of KI NO TEA. Tencha and gyokuro provide intense aromas and depth of flavour with a wonderful sweetness that occurs naturally in the distillation of these superior teas. These teas are blended carefully with a secret botanical recipe used only in KI NO TEA.",,,,,,,,,,,,,,,,,
