producerName,producerDesc,originCountry,statusOB,mainDrinks,88B Deepdive,photo,hashedPassword
Little Creatures,,Australia,,Beer,https://88bamboo.co/blogs/whisky-rum-gin-vodka-distillery-spotlight/a-flight-of-cupids-little-creatures-beer-tasting,,
Sakurao Distillery,,Japan,,Whiskey / Whisky,https://88bamboo.co/blogs/whisky-rum-gin-vodka-distillery-spotlight/a-new-dawn-for-sakurao-distillery,,
Hampden Estate Rum,,Jamaica,,Rum / Rhum,https://88bamboo.co/blogs/whisky-rum-gin-vodka-distillery-spotlight/a-spirit-so-funky-so-fierce-you-cannot-ignore-hampden-estate-rum,,
Glenmorangie Distillery,,Scotland,,Whiskey / Whisky,https://88bamboo.co/blogs/whisky-rum-gin-vodka-distillery-spotlight/a-tranquil-distillery-famous-for-its-giraffes-the-glenmorangie-distillery,,
Bombay Sapphire,,United Kingdom,,Gin,https://88bamboo.co/blogs/whisky-rum-gin-vodka-distillery-spotlight/bombay-sapphire-the-distillery-that-made-a-gem-of-a-gin,,
Buja Gin,,South Korea,,Gin,https://88bamboo.co/blogs/whisky-rum-gin-vodka-distillery-spotlight/buja-gin-seouls-first-craft-gin-joins-the-family-of-korean-spirits,,
Caroni,,Trinidad and Tobago,,Rum / Rhum,https://88bamboo.co/blogs/whisky-rum-gin-vodka-distillery-spotlight/caroni-rum-mania-how-forgotten-barrels-in-trinidad-transformed-into-a-cult-rum-phenomenon,,
Clase Azul,,Mexico,,Tequila,https://88bamboo.co/blogs/whisky-rum-gin-vodka-distillery-spotlight/clase-azul-the-world-s-most-expensive-tequila-you-either-love-or-hate,,
Del Maguey,"Founded in 1995, Del Maguey Single Village® Mezcal introduced the world to previously unavailable artisanal mezcal. Through deep cultural relationships with indigenous producers in Oaxaca and Puebla, Mexico, Del Maguey protects and preserves the ancient production processes that have been passed down generationally for hundreds of years. These traditional methods, combined with the diverse micro-climates and terroir of Mexico, give each expression a unique, complex character that celebrates the art of the family producer.",Mexico,,Mezcal,https://88bamboo.co/blogs/whisky-rum-gin-vodka-distillery-spotlight/del-maguey-mezcal-bottling-liquid-art-in-mexico-s-zapotec-villages,,
Hakushu Distillery,,Japan,,Whiskey / Whisky,https://88bamboo.co/blogs/whisky-rum-gin-vodka-distillery-spotlight/distillery-spotlight-hakushu-distillery,,
The Macallan Distillery,"The Macallan distillery is a single malt Scotch whisky distillery in Craigellachie in Moray in the north-east of Scotland. The Macallan Distillers Ltd is a wholly owned subsidiary of Edrington, which purchased the brand from Highland Distillers in 1999.",Scotland,,Whiskey / Whisky,https://88bamboo.co/blogs/whisky-rum-gin-vodka-distillery-spotlight/distillery-spotlight-macallan-distillery,,
Yamazaki Distillery,,Japan,,Whiskey / Whisky,https://88bamboo.co/blogs/whisky-rum-gin-vodka-distillery-spotlight/distillery-spotlight-yamazaki-distillery,,
Bruichladdich Distillery,,Scotland,,Whiskey / Whisky,https://88bamboo.co/blogs/whisky-rum-gin-vodka-distillery-spotlight/dr-bruichladdich-or-how-i-learned-to-stop-worring-and-love-the-bomb,,
Engkanto Brewery,,Philippines,,Beer,https://88bamboo.co/blogs/whisky-rum-gin-vodka-distillery-spotlight/engkanto-is-turning-up-philippines-beer-game-with-new-styles-and-local-flavours,,
Four Pillars Distillery,,Australia,,Gin,https://88bamboo.co/blogs/whisky-rum-gin-vodka-distillery-spotlight/four-pillars-three-friends-making-modern-australian-gin-in-australia-s-wine-country,,
Hendrick's,,Scotland,,Gin,https://88bamboo.co/blogs/whisky-rum-gin-vodka-distillery-spotlight/hendrick-s-gin-a-chemist-and-a-distiller-walks-into-a-garden,,
Brewlander,Singapore's leading craft brewery aiming to create the best craft beers around. Helm by award winning brewer John Wei.,Singapore,,Beer,https://88bamboo.co/blogs/whisky-rum-gin-vodka-distillery-spotlight/how-an-yeast-whisperer-inspired-a-craft-beer-movement-in-singapore-a-peek-at-brewlander,,
Fuji Distillery,,Japan,,Whiskey / Whisky,https://88bamboo.co/blogs/whisky-rum-gin-vodka-distillery-spotlight/how-kirins-fuji-distillery-transformed-the-japanese-whisky-landscape,,
Iron Balls Distillery,,Thailand,,Gin,https://88bamboo.co/blogs/whisky-rum-gin-vodka-distillery-spotlight/iron-balls-gin-the-ballsy-thai-micro-distillery-making-pineapple-coconut-gin,,
Kyoto Distillery,,Japan,,Gin,https://88bamboo.co/blogs/whisky-rum-gin-vodka-distillery-spotlight/ki-no-bi-gin-kyotos-first-dedicated-craft-gin-distillery,,
Three Societies Distillery,,South Korea,,Whiskey / Whisky,https://88bamboo.co/blogs/whisky-rum-gin-vodka-distillery-spotlight/korea-s-first-single-malt-three-societies-distillery,,
Lion City Meadery,,Singapore,,Mead,https://88bamboo.co/blogs/whisky-rum-gin-vodka-distillery-spotlight/lion-city-meadery-how-two-friends-stirred-a-buzz,,
Kanosuke Distillery,,Japan,,Whiskey / Whisky,https://88bamboo.co/blogs/whisky-rum-gin-vodka-distillery-spotlight/mellow-land-mellow-whisky-kanosuke-distillery,,
Mr Black,,Australia,,Liqueur,https://88bamboo.co/blogs/whisky-rum-gin-vodka-distillery-spotlight/mr-black-bringing-coffee-into-the-night-from-australia,,
Alive Brewing,,Singapore,,Beer,https://88bamboo.co/blogs/whisky-rum-gin-vodka-distillery-spotlight/one-night-in-cologne-changed-their-lives-forever-alive-brewings-story,,
Orion,,Japan,,Beer,https://88bamboo.co/blogs/whisky-rum-gin-vodka-distillery-spotlight/orion-exporting-a-taste-of-okinawa-to-the-world,,
Patrón,,Mexico,,Tequila,https://88bamboo.co/blogs/whisky-rum-gin-vodka-distillery-spotlight/patron-tequila-how-a-haircare-founder-created-a-tequila-titan,,
Peddlers Gin Co.,,China,,Gin,https://88bamboo.co/blogs/whisky-rum-gin-vodka-distillery-spotlight/peddler-s-gin-distilling-sichuan-peppers-at-china-s-first-craft-gin-distillery,,
Penfolds,,Australia,,Wine,https://88bamboo.co/blogs/whisky-rum-gin-vodka-distillery-spotlight/penfolds-doctor-s-wife-turned-rulebreaker-turned-starchild-of-australian-wines,,
Choya,,Japan,,Umeshu,https://88bamboo.co/blogs/whisky-rum-gin-vodka-distillery-spotlight/selling-ice-to-an-eskimo-how-choya-turned-a-homemade-liqueur-into-a-global-phenomenon,,
Taiwan Beer,,Taiwan,,Beer,https://88bamboo.co/blogs/whisky-rum-gin-vodka-distillery-spotlight/taiwan-beer-giving-a-distinct-flavour-and-identity-to-taiwan,,
Sullivans Cove,,Australia,,Whiskey / Whisky,https://88bamboo.co/blogs/whisky-rum-gin-vodka-distillery-spotlight/tasmania-s-most-charming-distillery-sullivans-cove-distillery,,
Starward Distillery,,Australia,,Whiskey / Whisky,https://88bamboo.co/blogs/whisky-rum-gin-vodka-distillery-spotlight/the-craft-brewer-winemaker-s-whisky-from-melbourne-starward-distillery,,
Tanglin Gin,"Where the best of Singapore meets the best of botanicals. This is not merely a bottle of Gin – it’s the Spirit of Singapore, distilled to perfection.",Singapore,,Gin,https://88bamboo.co/blogs/whisky-rum-gin-vodka-distillery-spotlight/the-distillery-that-put-singapore-on-the-world-map-tanglin-gin,,
Kavalan Distillery,,Taiwan,,Whiskey / Whisky,https://88bamboo.co/blogs/whisky-rum-gin-vodka-distillery-spotlight/the-distillery-that-put-taiwan-on-the-world-map-kavalan-distillery,,
Springbank Distillery,,Scotland,,Whiskey / Whisky,https://88bamboo.co/blogs/whisky-rum-gin-vodka-distillery-spotlight/the-distillery-that-saved-the-campbeltown-region,,
Glenfiddich Distillery,,Scotland,,Whiskey / Whisky,https://88bamboo.co/blogs/whisky-rum-gin-vodka-distillery-spotlight/the-giant-of-speyside-and-first-ever-scottish-single-malt,,
Kweichow Moutai,,China,,Baijiu,https://88bamboo.co/blogs/whisky-rum-gin-vodka-distillery-spotlight/the-hot-liquor-that-ended-the-cold-war-inside-kweichow-moutai-distillery,,
Ardbeg Distillery,"Ardbeg distillery is a Scotch whisky distillery in Ardbeg on the south coast of the isle of Islay, Argyll and Bute, Scotland, in the Inner Hebrides group of islands. The distillery is owned by Louis Vuitton Moët Hennessy, and produces a heavily peated Islay whisky.",Scotland,,Whiskey / Whisky,https://88bamboo.co/blogs/whisky-rum-gin-vodka-distillery-spotlight/the-islay-malt-with-a-worldwide-secret-society-ardbeg-distillery,,
Lagavulin Distillery,,Scotland,,Whiskey / Whisky,https://88bamboo.co/blogs/whisky-rum-gin-vodka-distillery-spotlight/the-lord-of-the-isles-a-spirit-created-with-sea-and-smoke,,
Archie Rose Distilling,,Australia,,Gin,https://88bamboo.co/blogs/whisky-rum-gin-vodka-distillery-spotlight/the-most-innovative-distillery-from-down-under-archie-rose,,
