venueName,address,venueType,originLocation,venueDesc
Aloha Whisky,"Japan, 〒171-0021 Tokyo, Toshima City, Nishiikebukuro, 3 Chome−29−11 泉ビル 3F",Specialty Spirits Bar,"Tokyo, Japan","Aloha Whisky is an award-winning whisky bar managed by the wonderful David Tsujimoto-san, located in Ikebukuro, Tokyo, serving whisky drink-in, take-out and also by the bottle."
The Mash Tun,"Japan, 〒141-0021 Tokyo, Shinagawa City, Kamiosaki, 2 Chome−14−3 三笠ビル B棟2階",Specialty Spirits Bar,"Tokyo, Japan",Snug bar catering to whisky aficionados with hundreds of single-malt offerings & Scottish decor.
Bar Kage,"Japan, 〒104-0061 Tokyo, Chuo City, Ginza, 6 Chome−3−6 栄ビル B1",Specialty Spirits Bar,"Tokyo, Japan",
Albion's Bar,"Japan, 〒114-0031 Tokyo, Kita City, Jujonakahara, 2 Chome−11−21 アルビオン",Specialty Spirits Bar,"Tokyo, Japan",
Campbeltoun Loch,"1 Chome-6-8 Yurakucho, Chiyoda City, Tokyo 100-0006, Japan",Specialty Spirits Bar,"Tokyo, Japan",
Cat Bite Club,"75 Duxton Rd, Singapore 089534",Cocktail Bar,Singapore,"Welcome to Cat Bite Club. Your local cocktail bar, specialising in Agave & Rice Spirits. Masterclasses also available."
Origin Bar,"Lobby Level, Tower Wing, 22 Orange Grove Rd, 258350",Cocktail Bar,Singapore,"Complementing its interior design that celebrates the glamour of train travel, the beverage concept at Origin Bar centres around a journey of discovery."
D.Bespoke,"2 Bukit Pasoh Rd, Singapore 089816",Cocktail Bar,Singapore,"Come in and be amazed, rest while being entertained, and leave wanting to return. Expert attention is placed on every action and every detail just to pamper you."
Sugarhall,"19 Cecil St, Level 2, Singapore 049704",Cocktail Bar,Singapore,"Rum-Focused Cocktail Pub. Welcome to Sugarhall! Our story began in 2014 in a cosy shophouse on Amoy Street, right next to our big sister Jigger & Pony. Forced to take a break after four years, Sugarhall reopened at our current location in March 2022, and we’re glad to continue our journey fueled by a shared love for rum, well-crafted cocktails, and convivial hospitality. Launched in June 2023, our new cocktail menu sees a fresh format that strikes the perfect balance - never too sweet, classic, funky, fancy, or too big. We strive to be a space in the community where you can find comfort, forge friendships, and share happiness alongside a memorable drinking experience. Join us for some fun and rum! "
Atlas Bar,"Ground floor, 600 North Bridge Rd, Parkview Square, 188778",Cocktail Bar,Singapore,"Luxurious 1920s-inspired venue for European cuisine, afternoon tea & cocktails, plus art deco decor."
Nutmeg & Clove,"8 Purvis Street, Singapore 188587",Cocktail Bar,Singapore,"Founded by industry veteran Colin Chia, Nutmeg & Clove is a restaurant & cocktail bar that pays homage to Singapore’s rich history with their Modern Singapore Cuisine and progressive cocktail program. Taking great pride in Singapore’s history and progression from colonial outpost to modern metropolis, Nutmeg & Clove reinterprets classic dishes and cocktails with a Singaporean inflection. With every taste, visitors will learn or re-visit different elements of Singapore. We look forward to hosting you with our delicious Modern Singaporean Cocktails and Food together with our unique local hospitality!"
Jigger and Pony,"165 Tg Pagar Rd, Amara Hotel, Singapore 088539",Cocktail Bar,Singapore,"Named after the double-coned measuring device used by bartenders to accurately pour out spirits, Jigger & Pony embraces the classics, the recipes for which used to be listed in “jiggers"" and “ponies""."
Sago House,"40B Sago Street, 059029, Singapore",Cocktail Bar,Singapore,"In this era of million-dollar builds, three of us, veteran industry hands, came together to open a venue that focuses on hospitality and community. Following our motto “Don’t Try” (C. Bukowski), we chose reusability, up-cycling, and good old fashioned hustle to build an eclectic space hidden away on the top level of a Sago Street shophouse. The programme features a weekly rotating menu of cocktails created from produce found in the locality along with some simple tasty bites."
Underdog Inn,115 Amoy Street (off Gemmill Lane),Cocktail Bar,Singapore,"Underdog is a celebration of counterculture & the successes of those who have raised the bar socially & artistically. Born of struggle and forged out of belief, hope and a unique viewing platform of the world as it passes by, Underdog evokes the feeling of a New York Tavern enveloped by its surroundings and the relentless concrete jungle."
Last Word,"Unit 02-01, 8 Purvis Street, Singapore 188587",Cocktail Bar,Singapore,"Named after the forgotten classic cocktail, Last Word, this latest project by the team at Nutmeg & Clove, is a restaurant & cocktail bar which aims to rekindle the romance of classic cocktails and serve simple Japanese favourite dishes."
Draftland Singapore,"24 Purvis St, Singapore 188601",Cocktail Bar,Singapore,"Life is now: with more than one way to enjoy cocktails. Draft Land is the first bar in Asia to pioneer only cocktails on tap, making the experience more accessible and affordable, and bringing a lifestyle-oriented philosophy encompassing people, events, and music. Singapore marks the fifth Draft Land outpost after ZhongXiao, Xinyi, and Taichung in Taiwan, and Hong Kong. Discover the Perfect Blend of Drinks and Lifestyle. The concept behind Draft Land is to introduce a refreshing approach that appeals to both bartenders and customers. Something you can enjoy at any time, any where, and with anyone"
Orh Gao Taproom,"10 Jln Serene, #01-03 Singapore, Singapore",Craft Beer Bar,Singapore,"‘Orh Gao’ or ‘黑狗’ is a Kopitiam Hokkien moniker for Stouts. Celebrating our local coffee shop heritage, Orh Gao Taproom aspires to relive the heartwarming ‘kampung’ atmosphere and the neighbourly vibes. Starting and ending your day with a toast, Orh Gao transforms from a traditional lively coffee shop in the day to a cosy bar in the evening. Orh Gao Taproom offers an extensive menu of craft beers on taps and all-time local favourites. In Orh Gao, our mission is simple: To Introduce, To Educate & To Celebrate!"
